year,scenario,percentage,n_patches,total_area_ha,mean_area_ha,sd_area_ha,median_area_ha,max_area_ha
1986,Forest vegetation (not trimmed),25.27,2201796,41132358,19,3687,1.35,3397448
1986,Forest vegetation (trimmed),25.25,2230509,41096833,18,1296,1.35,830496
1986,Natural vegetation (not trimmed),39.88,2251224,64909217,29,9245,1.17,10490715
1986,Natural vegetation (trimmed),39.84,2301140,64832991,28,2956,1.17,2711898
1990,Forest vegetation (not trimmed),24.07,2059724,39164420,19,3472,1.44,3158986
1990,Forest vegetation (trimmed),24.04,2086758,39130573,19,1269,1.44,877595
1990,Natural vegetation (not trimmed),38.39,2136171,62471881,29,9277,1.26,10532927
1990,Natural vegetation (trimmed),38.34,2185346,62397614,29,2953,1.26,2677168
1995,Forest vegetation (not trimmed),23.24,2051750,37825688,18,3336,1.44,3007756
1995,Forest vegetation (trimmed),23.22,2080013,37791570,18,1170,1.44,803755
1995,Natural vegetation (not trimmed),37.38,2137418,60831540,28,7985,1.26,8386742
1995,Natural vegetation (trimmed),37.33,2188098,60757173,28,2893,1.26,2714043
2000,Forest vegetation (not trimmed),22.54,2024772,36688790,18,5092,1.44,6959510
2000,Forest vegetation (trimmed),22.52,2052621,36655360,18,1150,1.44,770101
2000,Natural vegetation (not trimmed),36.78,2091472,59861952,29,8774,1.35,10157618
2000,Natural vegetation (trimmed),36.74,2143016,59786308,28,2810,1.35,2662722
2005,Forest vegetation (not trimmed),22.28,2009506,36260960,18,4020,1.53,5095019
2005,Forest vegetation (trimmed),22.26,2039272,36225866,18,1132,1.44,806599
2005,Natural vegetation (not trimmed),36.47,2060924,59344869,29,8663,1.35,10017365
2005,Natural vegetation (trimmed),36.42,2114253,59266718,28,2764,1.35,2603116
2010,Forest vegetation (not trimmed),22.44,2052341,36522265,18,5034,1.44,6937266
2010,Forest vegetation (trimmed),22.42,2084891,36484973,17,1100,1.44,763970
2010,Natural vegetation (not trimmed),36.45,2085299,59314001,28,8356,1.35,9792496
2010,Natural vegetation (trimmed),36.4,2142699,59232818,28,2700,1.35,2625471
2015,Forest vegetation (not trimmed),22.65,2161797,36867412,17,3705,1.44,4582605
2015,Forest vegetation (trimmed),22.63,2199425,36826511,17,1081,1.35,744569
2015,Natural vegetation (not trimmed),36.36,2151325,59180724,28,8195,1.35,9895304
2015,Natural vegetation (trimmed),36.31,2215181,59096027,27,2574,1.26,2532163
2020,Forest vegetation (not trimmed),22.89,2244015,37251477,17,3343,1.35,4010367
2020,Forest vegetation (trimmed),22.86,2287893,37206313,16,1026,1.35,698736
2020,Natural vegetation (not trimmed),36.32,2241089,59110442,26,6103,1.26,4779875
2020,Natural vegetation (trimmed),36.27,2310919,59022773,26,2406,1.26,2120105
